otu_id,phylum,genus,Oxygen_Preference,Oxygen_Preference_prob,Oxygen_Preference_source,Oxygen_Preference_auc,Gram_Status,Gram_Status_prob,Gram_Status_source,Gram_Status_auc,Motility,Motility_prob,Motility_source,Motility_auc,Spore_Formation,Spore_Formation_prob,Spore_Formation_source,Spore_Formation_auc,Lactose,Lactose_prob,Lactose_source,Lactose_auc,Salicin,Salicin_prob,Salicin_source,Salicin_auc,Glycerol,Glycerol_prob,Glycerol_source,Glycerol_auc,Melibiose,Melibiose_prob,Melibiose_source,Melibiose_auc,Maltose,Maltose_prob,Maltose_source,Maltose_auc,Sucrose,Sucrose_prob,Sucrose_source,Sucrose_auc,Trehalose,Trehalose_prob,Trehalose_source,Trehalose_auc,Sorbitol,Sorbitol_prob,Sorbitol_source,Sorbitol_auc
AB006127.1.1290,Bacillota,Streptococcus,facultatively,,Traitar,,positive,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,1,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,1,,Traitar,,1,,Traitar,,0,,Traitar,
AB006769.1.1456,Pseudomonadota,Marinospirillum,aerobic,0.685,SNE_predicted,0.8687942652662888,negative,0.616,SNE_predicted,0.7907925407925409,0,0.687,SNE_predicted,0.6391401701746529,0,0.935,SNE_predicted,0.5636363636363636,0,0.789,SNE_predicted,0.6889740796603542,0,0.954,SNE_predicted,0.6281256411184727,0,0.824,SNE_predicted,0.6085174663299663,0,0.894,SNE_predicted,0.7107286634460547,1,0.579,SNE_predicted,0.6555461877341289,0,0.585,SNE_predicted,0.5784892335737412,0,0.623,SNE_predicted,0.5276327504123557,0,0.982,SNE_predicted,0.7096774193548386
AB008514.1.1214,Pseudomonadota,Brevundimonas,aerobic,,Traitar,,negative,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,0,,Traitar,,1,,Traitar,,0,,Traitar,
AB008531.1.1246,Pseudomonadota,Caulobacter,aerobic,,Traitar,,negative,,Traitar,,1,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,0,,Traitar,
AB009222.1.1414,Bacillota,UCG-004,anaerobic,0.755,SNE_predicted,0.7874457174470512,positive,0.595,SNE_predicted,0.7491987179487181,0,0.814,SNE_predicted,0.6181818181818182,0,0.886,SNE_predicted,0.5636363636363636,0,0.678,SNE_predicted,0.612962962962963,0,0.864,SNE_predicted,0.4560117302052785,0,0.919,SNE_predicted,0.6527777777777778,0,0.907,SNE_predicted,0.5305555555555554,1,0.591,SNE_predicted,0.6324137931034484,0,0.678,SNE_predicted,0.5872576177285318,0,0.658,SNE_predicted,0.5538651315789473,0,0.934,SNE_predicted,0.7096774193548386
AB011816.1.1463,Actinomycetota,Collinsella,anaerobic,0.9,SNE_predicted,0.8629617127877274,positive,0.537,SNE_predicted,0.8323863636363636,0,0.943,SNE_predicted,0.6600985221674877,0,0.853,SNE_predicted,0.5636363636363636,1,0.743,SNE_predicted,0.7096153846153846,0,0.737,SNE_predicted,0.6219135802469136,0,0.952,SNE_predicted,0.5712121212121212,0,0.757,SNE_predicted,0.7891304347826087,1,0.77,SNE_predicted,0.6878402903811253,0,0.563,SNE_predicted,0.537842190016103,0,0.68,SNE_predicted,0.4651442307692308,0,0.963,SNE_predicted,0.7096774193548386
AB012207.1.1299,Actinomycetota,Corynebacterium,anaerobic,0.449,SNE_predicted,0.8629617127877274,positive,0.55,SNE_predicted,0.8323863636363636,0,0.606,SNE_predicted,0.6600985221674877,0,0.927,SNE_predicted,0.5636363636363636,0,0.633,SNE_predicted,0.7096153846153846,0,0.814,SNE_predicted,0.6219135802469136,0,0.844,SNE_predicted,0.5712121212121212,0,0.91,SNE_predicted,0.7891304347826087,1,0.564,SNE_predicted,0.6878402903811253,0,0.56,SNE_predicted,0.537842190016103,0,0.672,SNE_predicted,0.4651442307692308,0,0.973,SNE_predicted,0.7096774193548386
AB012589.1.1484,Actinomycetota,Pseudoclavibacter,facultatively,,Traitar,,positive,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,
AB022925.1.1450,Bacillota,Leuconostoc,facultatively,,Traitar,,positive,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,1,,Traitar,,1,,Traitar,,0,,Traitar,
AB023972.1.1377,Bacillota,Extibacter,anaerobic,,Traitar,,positive,,Traitar,,1,,Traitar,,1,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,1,,Traitar,,1,,Traitar,,0,,Traitar,
AB023973.1.1445,Bacillota,Extibacter,anaerobic,0.804,SNE_predicted,0.7874457174470512,positive,0.702,SNE_predicted,0.7491987179487181,0,0.889,SNE_predicted,0.6181818181818182,0,0.855,SNE_predicted,0.5636363636363636,0,0.597,SNE_predicted,0.612962962962963,0,0.915,SNE_predicted,0.4560117302052785,0,0.95,SNE_predicted,0.6527777777777778,0,0.869,SNE_predicted,0.5305555555555554,1,0.588,SNE_predicted,0.6324137931034484,0,0.658,SNE_predicted,0.5872576177285318,0,0.677,SNE_predicted,0.5538651315789473,0,0.947,SNE_predicted,0.7096774193548386
AB027362.1.1386,Pseudomonadota,Incertae Sedis,anaerobic,0.403,SNE_predicted,0.8687942652662888,positive,0.606,SNE_predicted,0.7907925407925409,0,0.726,SNE_predicted,0.6391401701746529,0,0.863,SNE_predicted,0.5636363636363636,0,0.773,SNE_predicted,0.6889740796603542,0,0.828,SNE_predicted,0.6281256411184727,0,0.691,SNE_predicted,0.6085174663299663,0,0.915,SNE_predicted,0.7107286634460547,1,0.514,SNE_predicted,0.6555461877341289,0,0.663,SNE_predicted,0.5784892335737412,0,0.632,SNE_predicted,0.5276327504123557,0,0.939,SNE_predicted,0.7096774193548386
AB030220.1.1486,Bacillota,Coprobacillus,anaerobic,0.956,SNE_predicted,0.7874457174470512,positive,0.88,SNE_predicted,0.7491987179487181,0,0.86,SNE_predicted,0.6181818181818182,1,0.578,SNE_predicted,0.5636363636363636,1,0.673,SNE_predicted,0.612962962962963,0,0.654,SNE_predicted,0.4560117302052785,0,0.953,SNE_predicted,0.6527777777777778,0,0.876,SNE_predicted,0.5305555555555554,1,0.762,SNE_predicted,0.6324137931034484,1,0.522,SNE_predicted,0.5872576177285318,1,0.554,SNE_predicted,0.5538651315789473,0,0.981,SNE_predicted,0.7096774193548386
AB034121.1.1264,Bacillota,Shuttleworthia,anaerobic,0.813,SNE_predicted,0.7874457174470512,positive,0.665,SNE_predicted,0.7491987179487181,0,0.783,SNE_predicted,0.6181818181818182,0,0.9,SNE_predicted,0.5636363636363636,1,0.547,SNE_predicted,0.612962962962963,0,0.679,SNE_predicted,0.4560117302052785,0,0.937,SNE_predicted,0.6527777777777778,0,0.719,SNE_predicted,0.5305555555555554,1,0.739,SNE_predicted,0.6324137931034484,1,0.504,SNE_predicted,0.5872576177285318,0,0.605,SNE_predicted,0.5538651315789473,0,0.942,SNE_predicted,0.7096774193548386
AB036759.1.1480,Bacillota,Pseudoramibacter,anaerobic,0.775,SNE_predicted,0.7874457174470512,positive,0.9,SNE_predicted,0.7491987179487181,0,0.868,SNE_predicted,0.6181818181818182,0,0.893,SNE_predicted,0.5636363636363636,0,0.591,SNE_predicted,0.612962962962963,0,0.714,SNE_predicted,0.4560117302052785,0,0.974,SNE_predicted,0.6527777777777778,0,0.948,SNE_predicted,0.5305555555555554,1,0.682,SNE_predicted,0.6324137931034484,1,0.507,SNE_predicted,0.5872576177285318,1,0.534,SNE_predicted,0.5538651315789473,0,0.958,SNE_predicted,0.7096774193548386
AB062283.1.1345,Pseudomonadota,Acinetobacter,aerobic,0.708,SNE_predicted,0.8687942652662888,negative,0.585,SNE_predicted,0.7907925407925409,0,0.555,SNE_predicted,0.6391401701746529,0,0.94,SNE_predicted,0.5636363636363636,0,0.838,SNE_predicted,0.6889740796603542,0,0.908,SNE_predicted,0.6281256411184727,0,0.723,SNE_predicted,0.6085174663299663,0,0.892,SNE_predicted,0.7107286634460547,1,0.57,SNE_predicted,0.6555461877341289,0,0.653,SNE_predicted,0.5784892335737412,0,0.602,SNE_predicted,0.5276327504123557,0,0.946,SNE_predicted,0.7096774193548386
AB064919.1.1492,Bacteroidota,Bacteroides,anaerobic,,Traitar,,negative,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,1,,Traitar,,0,,Traitar,,0,,Traitar,
AB071950.1.1341,Actinomycetota,Arthrobacter,aerobic,0.413,SNE_predicted,0.8629617127877274,positive,0.508,SNE_predicted,0.8323863636363636,0,0.667,SNE_predicted,0.6600985221674877,0,0.89,SNE_predicted,0.5636363636363636,0,0.669,SNE_predicted,0.7096153846153846,0,0.859,SNE_predicted,0.6219135802469136,0,0.812,SNE_predicted,0.5712121212121212,0,0.893,SNE_predicted,0.7891304347826087,1,0.579,SNE_predicted,0.6878402903811253,0,0.657,SNE_predicted,0.537842190016103,0,0.624,SNE_predicted,0.4651442307692308,0,0.961,SNE_predicted,0.7096774193548386
AB071953.1.1312,Bacteroidota,Elizabethkingia,aerobic,,Traitar,,negative,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,0,,Traitar,,1,,Traitar,,0,,Traitar,
AB074617.1.1332,Actinomycetota,Leifsonia,aerobic,0.822,SNE_predicted,0.8629617127877274,negative,0.716,SNE_predicted,0.8323863636363636,0,0.608,SNE_predicted,0.6600985221674877,0,0.943,SNE_predicted,0.5636363636363636,0,0.833,SNE_predicted,0.7096153846153846,0,0.821,SNE_predicted,0.6219135802469136,0,0.541,SNE_predicted,0.5712121212121212,0,0.864,SNE_predicted,0.7891304347826087,0,0.762,SNE_predicted,0.6878402903811253,0,0.695,SNE_predicted,0.537842190016103,0,0.569,SNE_predicted,0.4651442307692308,0,0.983,SNE_predicted,0.7096774193548386
AB088984.1.1396,Bacillota,Incertae Sedis,anaerobic,0.585,SNE_predicted,0.7874457174470512,positive,0.515,SNE_predicted,0.7491987179487181,0,0.774,SNE_predicted,0.6181818181818182,0,0.855,SNE_predicted,0.5636363636363636,0,0.527,SNE_predicted,0.612962962962963,0,0.771,SNE_predicted,0.4560117302052785,0,0.886,SNE_predicted,0.6527777777777778,0,0.852,SNE_predicted,0.5305555555555554,1,0.634,SNE_predicted,0.6324137931034484,0,0.583,SNE_predicted,0.5872576177285318,0,0.65,SNE_predicted,0.5538651315789473,0,0.923,SNE_predicted,0.7096774193548386
AB108825.1.1490,Bacteroidota,Hoylesella,anaerobic,,Traitar,,negative,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,1,,Traitar,,0,,Traitar,,0,,Traitar,
AB128872.1.1589,Pseudomonadota,Sphingobium,aerobic,0.762,SNE_predicted,0.8687942652662888,negative,0.835,SNE_predicted,0.7907925407925409,0,0.616,SNE_predicted,0.6391401701746529,0,0.965,SNE_predicted,0.5636363636363636,0,0.623,SNE_predicted,0.6889740796603542,0,0.946,SNE_predicted,0.6281256411184727,0,0.775,SNE_predicted,0.6085174663299663,0,0.964,SNE_predicted,0.7107286634460547,0,0.82,SNE_predicted,0.6555461877341289,0,0.858,SNE_predicted,0.5784892335737412,0,0.823,SNE_predicted,0.5276327504123557,0,0.982,SNE_predicted,0.7096774193548386
AB174795.1.1258,Bacillota,Clostridium,anaerobic,0.356,SNE_predicted,0.7874457174470512,positive,0.54,SNE_predicted,0.7491987179487181,0,0.798,SNE_predicted,0.6181818181818182,0,0.869,SNE_predicted,0.5636363636363636,0,0.58,SNE_predicted,0.612962962962963,0,0.718,SNE_predicted,0.4560117302052785,0,0.808,SNE_predicted,0.6527777777777778,0,0.811,SNE_predicted,0.5305555555555554,1,0.609,SNE_predicted,0.6324137931034484,0,0.55,SNE_predicted,0.5872576177285318,1,0.581,SNE_predicted,0.5538651315789473,0,0.933,SNE_predicted,0.7096774193548386
AB176365.1.1240,Pseudomonadota,Acinetobacter,aerobic,0.428,SNE_predicted,0.8687942652662888,negative,0.71,SNE_predicted,0.7907925407925409,0,0.703,SNE_predicted,0.6391401701746529,0,0.921,SNE_predicted,0.5636363636363636,0,0.646,SNE_predicted,0.6889740796603542,0,0.79,SNE_predicted,0.6281256411184727,0,0.67,SNE_predicted,0.6085174663299663,0,0.825,SNE_predicted,0.7107286634460547,0,0.545,SNE_predicted,0.6555461877341289,0,0.637,SNE_predicted,0.5784892335737412,0,0.618,SNE_predicted,0.5276327504123557,0,0.961,SNE_predicted,0.7096774193548386
AB182483.1.1494,Bacteroidota,Prevotella,anaerobic,,Traitar,,negative,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,1,,Traitar,,0,,Traitar,,0,,Traitar,
AB185742.1.1529,Bacillota,Monoglobus,anaerobic,0.883,SNE_predicted,0.7874457174470512,positive,0.559,SNE_predicted,0.7491987179487181,0,0.829,SNE_predicted,0.6181818181818182,0,0.799,SNE_predicted,0.5636363636363636,1,0.558,SNE_predicted,0.612962962962963,0,0.875,SNE_predicted,0.4560117302052785,0,0.932,SNE_predicted,0.6527777777777778,0,0.794,SNE_predicted,0.5305555555555554,1,0.622,SNE_predicted,0.6324137931034484,0,0.591,SNE_predicted,0.5872576177285318,0,0.681,SNE_predicted,0.5538651315789473,0,0.958,SNE_predicted,0.7096774193548386
AB185776.1.1501,Bacillota,Incertae Sedis,anaerobic,0.749,SNE_predicted,0.7874457174470512,negative,0.583,SNE_predicted,0.7491987179487181,0,0.731,SNE_predicted,0.6181818181818182,0,0.894,SNE_predicted,0.5636363636363636,1,0.55,SNE_predicted,0.612962962962963,0,0.882,SNE_predicted,0.4560117302052785,0,0.893,SNE_predicted,0.6527777777777778,0,0.85,SNE_predicted,0.5305555555555554,1,0.7,SNE_predicted,0.6324137931034484,0,0.578,SNE_predicted,0.5872576177285318,0,0.61,SNE_predicted,0.5538651315789473,0,0.911,SNE_predicted,0.7096774193548386
AB185810.1.1527,Bacillota,UCG-001,anaerobic,0.686,SNE_predicted,0.7874457174470512,positive,0.75,SNE_predicted,0.7491987179487181,0,0.794,SNE_predicted,0.6181818181818182,0,0.832,SNE_predicted,0.5636363636363636,1,0.539,SNE_predicted,0.612962962962963,0,0.69,SNE_predicted,0.4560117302052785,0,0.93,SNE_predicted,0.6527777777777778,0,0.814,SNE_predicted,0.5305555555555554,1,0.724,SNE_predicted,0.6324137931034484,0,0.558,SNE_predicted,0.5872576177285318,0,0.56,SNE_predicted,0.5538651315789473,0,0.917,SNE_predicted,0.7096774193548386
AB192177.1.1438,Bacillota,Incertae Sedis,anaerobic,0.856,SNE_predicted,0.7874457174470512,positive,0.557,SNE_predicted,0.7491987179487181,0,0.833,SNE_predicted,0.6181818181818182,0,0.841,SNE_predicted,0.5636363636363636,1,0.577,SNE_predicted,0.612962962962963,0,0.824,SNE_predicted,0.4560117302052785,0,0.956,SNE_predicted,0.6527777777777778,0,0.79,SNE_predicted,0.5305555555555554,1,0.635,SNE_predicted,0.6324137931034484,0,0.572,SNE_predicted,0.5872576177285318,0,0.589,SNE_predicted,0.5538651315789473,0,0.967,SNE_predicted,0.7096774193548386
AB200414.1.1491,Bacteroidota,Prevotella,anaerobic,,Traitar,,negative,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,1,,Traitar,,0,,Traitar,,0,,Traitar,
AB214328.1.1484,Bacteroidota,Bacteroides,anaerobic,0.824,SNE_predicted,0.8397338985003557,positive,0.628,SNE_predicted,0.7907925407925409,0,0.848,SNE_predicted,0.6391401701746529,0,0.841,SNE_predicted,0.5636363636363636,1,0.702,SNE_predicted,0.744343891402715,0,0.821,SNE_predicted,0.8064516129032258,0,0.895,SNE_predicted,0.6015625,0,0.621,SNE_predicted,0.8125,1,0.824,SNE_predicted,0.6463844797178131,0,0.509,SNE_predicted,0.6103678929765886,0,0.643,SNE_predicted,0.5638888888888889,0,0.967,SNE_predicted,0.7096774193548386
AB218288.1.1449,Bacteroidota,Parabacteroides,anaerobic,0.972,SNE_predicted,0.8397338985003557,negative,0.537,SNE_predicted,0.7907925407925409,0,0.882,SNE_predicted,0.6391401701746529,0,0.772,SNE_predicted,0.5636363636363636,1,0.505,SNE_predicted,0.744343891402715,0,0.921,SNE_predicted,0.8064516129032258,0,0.979,SNE_predicted,0.6015625,0,0.777,SNE_predicted,0.8125,1,0.515,SNE_predicted,0.6463844797178131,0,0.685,SNE_predicted,0.6103678929765886,0,0.665,SNE_predicted,0.5638888888888889,0,0.977,SNE_predicted,0.7096774193548386
AB218300.1.1457,Bacillota,Lachnospiraceae NC2004 group,anaerobic,0.724,SNE_predicted,0.7874457174470512,positive,0.563,SNE_predicted,0.7491987179487181,0,0.77,SNE_predicted,0.6181818181818182,0,0.843,SNE_predicted,0.5636363636363636,1,0.548,SNE_predicted,0.612962962962963,0,0.77,SNE_predicted,0.4560117302052785,0,0.91,SNE_predicted,0.6527777777777778,0,0.896,SNE_predicted,0.5305555555555554,1,0.69,SNE_predicted,0.6324137931034484,0,0.565,SNE_predicted,0.5872576177285318,0,0.642,SNE_predicted,0.5538651315789473,0,0.916,SNE_predicted,0.7096774193548386
AB218322.1.1456,Bacillota,Christensenellaceae R-7 group,anaerobic,0.925,SNE_predicted,0.7874457174470512,positive,0.713,SNE_predicted,0.7491987179487181,0,0.825,SNE_predicted,0.6181818181818182,0,0.652,SNE_predicted,0.5636363636363636,0,0.546,SNE_predicted,0.612962962962963,0,0.953,SNE_predicted,0.4560117302052785,0,0.972,SNE_predicted,0.6527777777777778,0,0.848,SNE_predicted,0.5305555555555554,0,0.502,SNE_predicted,0.6324137931034484,0,0.76,SNE_predicted,0.5872576177285318,0,0.581,SNE_predicted,0.5538651315789473,0,0.988,SNE_predicted,0.7096774193548386
AB218324.1.1551,Bacillota,Faecalicatena,anaerobic,0.78,SNE_predicted,0.7874457174470512,positive,0.857,SNE_predicted,0.7491987179487181,0,0.844,SNE_predicted,0.6181818181818182,0,0.715,SNE_predicted,0.5636363636363636,1,0.571,SNE_predicted,0.612962962962963,0,0.736,SNE_predicted,0.4560117302052785,0,0.91,SNE_predicted,0.6527777777777778,0,0.903,SNE_predicted,0.5305555555555554,1,0.717,SNE_predicted,0.6324137931034484,0,0.671,SNE_predicted,0.5872576177285318,0,0.542,SNE_predicted,0.5538651315789473,0,0.952,SNE_predicted,0.7096774193548386
AB218325.1.1438,Bacillota,[Eubacterium] brachy group,anaerobic,,Traitar,,positive,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,
AB218332.1.1445,Bacteroidota,Bacteroides,anaerobic,,Traitar,,negative,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,1,,Traitar,,1,,Traitar,,1,,Traitar,,0,,Traitar,
AB218334.1.1446,Bacteroidota,Alistipes,anaerobic,,Traitar,,negative,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,1,,Traitar,,1,,Traitar,,1,,Traitar,,0,,Traitar,
AB218338.1.1457,Bacillota,Ruminiclostridium,anaerobic,0.977,SNE_predicted,0.7874457174470512,positive,0.79,SNE_predicted,0.7491987179487181,0,0.917,SNE_predicted,0.6181818181818182,0,0.588,SNE_predicted,0.5636363636363636,0,0.528,SNE_predicted,0.612962962962963,0,0.964,SNE_predicted,0.4560117302052785,0,0.99,SNE_predicted,0.6527777777777778,0,0.866,SNE_predicted,0.5305555555555554,0,0.612,SNE_predicted,0.6324137931034484,0,0.821,SNE_predicted,0.5872576177285318,0,0.768,SNE_predicted,0.5538651315789473,0,0.998,SNE_predicted,0.7096774193548386
AB220083.1.1360,Pseudomonadota,Methylobacterium,aerobic,0.403,SNE_predicted,0.8687942652662888,negative,0.662,SNE_predicted,0.7907925407925409,0,0.706,SNE_predicted,0.6391401701746529,0,0.933,SNE_predicted,0.5636363636363636,0,0.684,SNE_predicted,0.6889740796603542,0,0.775,SNE_predicted,0.6281256411184727,0,0.839,SNE_predicted,0.6085174663299663,0,0.9,SNE_predicted,0.7107286634460547,1,0.528,SNE_predicted,0.6555461877341289,0,0.597,SNE_predicted,0.5784892335737412,0,0.649,SNE_predicted,0.5276327504123557,0,0.943,SNE_predicted,0.7096774193548386
AB221358.1.1238,Bacillota,Incertae Sedis,anaerobic,0.733,SNE_predicted,0.7874457174470512,positive,0.661,SNE_predicted,0.7491987179487181,0,0.787,SNE_predicted,0.6181818181818182,0,0.864,SNE_predicted,0.5636363636363636,0,0.549,SNE_predicted,0.612962962962963,0,0.822,SNE_predicted,0.4560117302052785,0,0.941,SNE_predicted,0.6527777777777778,0,0.865,SNE_predicted,0.5305555555555554,1,0.571,SNE_predicted,0.6324137931034484,0,0.625,SNE_predicted,0.5872576177285318,0,0.62,SNE_predicted,0.5538651315789473,0,0.974,SNE_predicted,0.7096774193548386
AB222699.1.1485,Bacteroidota,Bacteroides,anaerobic,0.85,SNE_predicted,0.8397338985003557,positive,0.525,SNE_predicted,0.7907925407925409,0,0.954,SNE_predicted,0.6391401701746529,0,0.877,SNE_predicted,0.5636363636363636,1,0.817,SNE_predicted,0.744343891402715,0,0.775,SNE_predicted,0.8064516129032258,0,0.908,SNE_predicted,0.6015625,0,0.513,SNE_predicted,0.8125,1,0.861,SNE_predicted,0.6463844797178131,1,0.672,SNE_predicted,0.6103678929765886,0,0.514,SNE_predicted,0.5638888888888889,0,0.942,SNE_predicted,0.7096774193548386
