otu_id	kingdom	phylum	class	order	family	genus	species
AB027362.1.1386	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	Incertae Sedis	
AB030220.1.1486	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Coprobacillus	
AB034121.1.1264	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Shuttleworthia	
AB036759.1.1480	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Pseudoramibacter	
AB062283.1.1345	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
AB064919.1.1492	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
AB071950.1.1341	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	
AB071953.1.1312	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Elizabethkingia	
AB074617.1.1332	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia	
AB088984.1.1396	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis	
AB108825.1.1490	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella	
AB128872.1.1589	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	
AB174795.1.1258	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
AB176365.1.1240	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
AB182483.1.1494	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
AB185742.1.1529	Bacteria	Bacillota	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	
AB185776.1.1501	Bacteria	Bacillota	Clostridia	Oscillospirales	UCG-010	Incertae Sedis	
AB185810.1.1527	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	UCG-001	
AB192177.1.1438	Bacteria	Bacillota	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	Incertae Sedis	
AB200414.1.1491	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
AB214328.1.1484	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
AB218288.1.1449	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	
AB218300.1.1457	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NC2004 group	
AB218322.1.1456	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	
AB218324.1.1551	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Faecalicatena	
AB218325.1.1438	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] brachy group	
AB218332.1.1445	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
AB218334.1.1446	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
AB218338.1.1457	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Ruminiclostridium	
AB220083.1.1360	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylobacterium	
AB221358.1.1238	Bacteria	Bacillota	Clostridia	Oscillospirales	Ethanoligenenaceae	Incertae Sedis	
AB222699.1.1485	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
AB231038.1.1365	Bacteria	Bacillota	Clostridia	Oscillospirales	UCG-010	Incertae Sedis	
AB233029.1.1493	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	
AB234418.1.1355	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
AB234447.1.1351	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	NK4A214 group	
AB234451.1.1349	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Papillibacter	
AB234463.1.1349	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	
AB234520.1.1316	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Incertae Sedis	Incertae Sedis	
AB234524.1.1350	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacter	
AB234525.1.1348	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	
AB237713.1.1455	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerotignum	
AB238924.1.1486	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	
AB238927.1.1486	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	
AB238928.1.1492	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	
AB241130.1.1446	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Candidatus Cardinium	
AB243992.1.1538	Bacteria	Bacillota	Clostridia	Peptococcales	Peptococcaceae	Incertae Sedis	
AB255081.1.1485	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Incertae Sedis	
AB259061.1.1545	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
AB261128.1.1492	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	
AB264066.1.1465	Bacteria	Bacillota	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	Incertae Sedis	
AB264069.1.1447	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	
AB264073.1.1456	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	
AB264082.1.1445	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	
AB264126.1.1422	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Nubsella	
AB266102.1.1428	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Asaccharobacter	
AB267809.1.1461	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	
AB270083.1.1322	Bacteria	Bacillota	Clostridia	Clostridia UCG-014	Incertae Sedis	Incertae Sedis	
AB272322.1.1204	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Afipia	
AB272335.1.1200	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Bradyrhizobium	
AB272364.1.1268	Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae	Kurthia	
AB272373.1.1283	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Paenalcaligenes	
AB286023.1.1473	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	Janibacter	
AB288920.1.1350	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Thomasclavelia	
AB294138.1.1215	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	
AB300988.1.1342	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Megamonas	
AB300989.1.1489	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	
AB331897.1.1481	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	
AB365975.1.1498	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Secundilactobacillus	
AB370249.1.1521	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Dialister	
AB374136.1.1447	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Hydrogenophilaceae	Tepidiphilus	
AB425276.1.1515	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	
AB425929.1.1502	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	
AB438958.1.1532	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	
AB443948.1.1484	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	
AB443949.1.1486	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	
AB444081.1.1207	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	
AB470329.1.1491	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	
AB470343.1.1485	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	
AB480534.1.1481	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
AB487517.1.1356	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Lysobacter	
AB487690.1.1322	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	
AB490801.1.1479	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
AB490804.1.1482	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
AB490806.1.1463	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Slackia	
AB490809.1.1497	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Christensenella	
AB490810.1.1469	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Succinatimonas	
AB490811.1.1610	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	
AB491209.1.1485	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	
AB491210.1.1485	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	
AB491723.1.1422	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Hydrogenoanaerobacterium	
AB494814.1.1500	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	
AB505075.1.1496	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Slackia	
AB506139.1.1558	Bacteria	Bacillota	Clostridia	Clostridia UCG-014	Incertae Sedis	Incertae Sedis	
AB506166.1.1495	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Intestinibacter	
AB506172.1.1523	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	
AB506185.1.1506	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Family XIII AD3011 group	
AB506188.1.1515	Bacteria	Bacillota	Clostridia	Oscillospirales	Butyricicoccaceae	UCG-008	
AB506192.1.1523	Bacteria	Bacillota	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	
AB506199.1.1508	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
AB506227.1.1518	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	
AB506232.1.1522	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	
AB506250.1.1525	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	
AB506253.1.1527	Bacteria	Bacillota	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	
AB506266.1.1511	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	
AB506279.1.1563	Bacteria	Bacillota	Clostridia	Peptococcales	Peptococcaceae	Peptococcus	
AB506315.1.1513	Bacteria	Bacillota	Clostridia	Clostridia UCG-014	Incertae Sedis	Incertae Sedis	
AB506348.1.1522	Bacteria	Bacillota	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	
AB506360.1.1531	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	
AB506361.1.1516	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis	
AB506369.1.1506	Bacteria	Bacillota	Clostridia	Oscillospirales	UCG-010	Incertae Sedis	
AB506371.1.1509	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	
AB506372.1.1510	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	
AB506381.1.1523	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	
AB506382.1.1509	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis	
AB506388.1.1517	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	
AB506413.1.1616	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Shuttleworthia	
AB506424.1.1522	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Incertae Sedis	
AB506558.1.1496	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Succinivibrio	
AB506573.1.1493	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Succinivibrio	
AB506579.1.1499	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Succinivibrio	
AB506623.1.1506	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Incertae Sedis	
AB507168.1.1517	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	
AB507643.1.1557	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera	
AB507661.1.1539	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Succiniclasticum	
AB509211.1.1451	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	
AB510707.1.1473	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
AB510708.1.1476	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
AB512047.1.1509	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Mogibacterium	
AB521998.1.1477	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	Arsenicicoccus	
AB525415.1.1503	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Eikenella	
AB530190.1.1489	Bacteria	Bacillota	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	Incertae Sedis	
AB538433.1.1488	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	
AB547648.1.1487	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	
AB547649.1.1485	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	
AB547651.1.1480	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	
AB547668.1.1490	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	
AB547670.1.1491	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
AB547672.1.1495	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
AB547673.1.1490	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
AB547674.1.1479	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
AB547676.1.1493	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella	
AB547677.1.1479	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
AB547682.1.1492	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
AB547683.1.1480	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
AB547696.1.1280	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
AB547703.1.1492	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
AB547706.1.1493	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella	
AB548674.1.1491	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	
AB554230.1.1487	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
AB554231.1.1489	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
AB554233.1.1486	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
AB558171.1.1473	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	
AB558487.1.1504	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalitalea	
AB559618.1.1515	Bacteria	Bacillota	Clostridia	Clostridia UCG-014	Incertae Sedis	Incertae Sedis	
AB559621.1.1499	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
AB566418.1.1473	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Slackia	
AB571656.1.1493	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	
AB574479.1.1484	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
AB574480.1.1486	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
AB574481.1.1484	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
AB574482.1.1489	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	
AB595132.1.1457	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
AB595135.1.1467	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
AB595138.1.1492	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Incertae Sedis	Phocaeicola	
AB598741.1.1413	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Halalkalibacterium	
AB601001.1.1469	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
AB606256.1.1495	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Incertae Sedis	
AB606284.1.1481	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	
AB606308.1.1509	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Incertae Sedis	
AB606352.1.1486	Bacteria	Bacillota	Clostridia	Clostridia UCG-014	Incertae Sedis	Incertae Sedis	
AB606378.1.1511	Bacteria	Bacillota	Clostridia	Clostridia UCG-014	Incertae Sedis	Incertae Sedis	
AB606383.1.1494	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Incertae Sedis	
AB606384.1.1479	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Incertae Sedis	
AB606399.1.1479	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Family XIII AD3011 group	
AB608051.1.1488	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	
AB612796.1.1482	Bacteria	Cyanobacteriota	Vampirivibrionia	Gastranaerophilales	Gastranaerophilaceae	Incertae Sedis	
AB614872.1.1469	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	Incertae Sedis	
AB616133.1.1466	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
AB616155.1.1470	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	vadinBE97	Incertae Sedis	
AB616299.1.1516	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Selenomonas	
AB618996.1.1275	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	
AB626049.1.1495	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	
AB626897.1.1485	Bacteria	Bacillota	Clostridia	Clostridia UCG-014	Incertae Sedis	Incertae Sedis	
AB626907.1.1496	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Incertae Sedis	
AB626919.1.1479	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Incertae Sedis	
AB626927.1.1498	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Incertae Sedis	
AB626931.1.1494	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	
AB626948.1.1493	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Incertae Sedis	
AB627586.1.1525	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	
AB627676.1.1520	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Incertae Sedis	
AB627687.1.1526	Bacteria	Bacillota	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	Incertae Sedis	
AB636945.1.1426	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Rubellimicrobium	
AB638860.1.1489	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Nocardiaceae	Gordonia	
AB639144.1.1469	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
AB649277.1.1490	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Amedibacillus	
AB662961.1.1419	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	
AB678451.1.1353	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	
AB680374.1.1442	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
AB680533.1.1482	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
AB680534.1.1414	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
AB680625.1.1447	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	
AB680681.1.1443	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	
AB681219.1.1466	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	
AB681297.1.1474	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	
AB681369.1.1472	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Pseudoxanthomonas	
AB681574.1.1283	Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae	Rummeliibacillus	
AB681920.1.1462	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
AB693143.1.1405	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	
AB696394.1.1357	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	
AB697157.1.1394	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylorubrum	
AB698720.1.1455	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylobacterium	
AB700379.1.1452	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	
AB702721.1.1496	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
AB702729.1.1497	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Incertae Sedis	
AB702751.1.1405	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Incertae Sedis	
